# code: kr
# key, value

language_name,한글
edit_hi_speed,Hi-Speed편집하다
hi_speed_speed,Hi-Speed속도
fade_none,페이드 - 없음
fade_in,페이드 - 안쪽
fade_out,페이드 - 바깥쪽으로
guide_color,가이드 컬러
guide_neutral,하얀색
guide_red,빨간색
guide_blue,파란색
guide_green,녹색
guide_yellow,노란색
guide_purple,보라
guide_cyan,청록색
guide_black,검은색
layer,층
edit_skill,
edit_fever,
edit_none,
edit_event,
beat,박자
lane,레인
width,너비
advanced,고급의
note_properties_note,노트 속성
note_properties_hi_speed,Hi-Speed속성
note_properties_hold_note,홀드 속성
note_properties_guide,가이드 속성
note_properties_not_selected,선택한 노트가 없습니다
note_properties_many_hold_notes,1개 이상의 홀드가 선택되었습니다.
translated_by,%s님의 번역
zoom_tooltip,확대/축소 툴팁

# preset manager
presets,사전 설정
no_presets,사전 설정이 없습니다
name,사전 설정 이름
description,설명
create_preset,사전 설정 만들기
search,찾다...
confirm,확인하다

# layer manager
layers,레이어
name,레이어 이름
create_layer,레이어 생성
confirm,확인하다
show_all_layers,모든 레이어 표시
layer_rename,이름 바꾸기
layer_up,이동
layer_down,아래로 이동
layer_merge,병합
layer_delete,삭제
layer_hide,숨다
layer_show,표시

# waypoint manager
waypoints, 웨이포인트
create_waypoint,웨이포인트 생성
edit_waypoint,웨이포인트 편집
waypoint_name,웨이포인트 이름

# commands
action,행동
keys,키
add,추가하다
cmd_key_listen,입력을 기다리는 중...
new_chart,새 차트
toggle_playback,재생/일시 정지
cancel_paste,붙여넣기 취소
stop,멈추다
previous_tick,이전 틱
next_tick,다음 틱
timeline_select,타임라인 선택
timeline_tap,삽입 탭
timeline_hold,홀드 삽입
timeline_hold_step,중간 홀드 삽입
timeline_flick,플릭 삽입
timeline_critical,황금색 삽입
timeline_trace,트라세우 삽입
timeline_guide,가이드 삽입
timeline_damage,다마주를 삽입하다
timeline_bpm,BPM삽입
timeline_time_signature,박자표 삽입
timeline_hi_speed,Hi-Speed삽입
zoom_in,확대
zoom_out,축소
