# code: tr
# key, value

language_name, Turkish
decrease_note_size, Nota Boyutunu Azalt
hi_speed, Hi-Speed
edit_hi_speed, Hi-Speed Düzenle
hi_speed_speed, Hiz
fade_none, Solma Yok
fade_in, Solmaya Basla
fade_out, Solmayi Bitir
guide_color, Kilavuz Rengi
guide_neutral, Nötr
guide_red, Kirmizi
guide_blue, Mavi
guide_green, Yesil
guide_yellow, Sari
guide_purple, Mor
guide_cyan, Camgöbegi
guide_black, Siyah
layer, Katman
edit_skill, Beceri Tetikleyicisini Düzenle
edit_fever, FEVER Tetikleyicisini Düzenle
edit_none, Düzenle
edit_event, Olayi Düzenle
beat, Vurus
lane, Yol
width, Genislik
advanced, Gelismis
note_properties_note, Nota Özellikleri
note_properties_hi_speed, Hi-Speed Özellikleri
note_properties_hold_note, Basili Tutma Nota Özellikleri
note_properties_guide, Kilavuz Özellikleri
note_properties_not_selected, Hi-Speed'ler veya notalar seçilmedi
note_properties_many_hold_notes, Birden fazla basili tutma notasi seçildi
translated_by, Çeviren: %s
zoom_tooltip, Ctrl-tiklayarak degeri düzenleyin

# preset manager
presets, Ön Ayarlar
no_presets, Ön ayar mevcut degil
name, Isim
description, Açiklama
create_preset, Ön Ayar Olustur
search, Ara...
confirm, Onayla

# layer manager
layers, Katmanlar
name, Isim
create_layer, Katman Olustur
confirm, Onayla
show_all_layers, Tüm Katmanlari Göster
layer_rename, Katmani Yeniden Adlandir
layer_up, Yukari Tasi
layer_down, Asagi Tasi
layer_merge, Katmani Birlestir
layer_delete, Katmani Sil
layer_hide, Katmani Gizle
layer_show, Katmani Göster

# waypoint manager
waypoints, Noktalar
create_waypoint, Nokta Olustur
edit_waypoint, Noktayi Düzenle
waypoint_name, Isim

# commands
action, Eylem
keys, Tuslar
add, Ekle
cmd_key_listen, Girdi bekleniyor...
new_chart, Yeni Grafik
toggle_playback, Oynat / Duraklat
cancel_paste, Yapistirmayi Iptal Et
stop, Durdur
previous_tick, Önceki Tik
next_tick, Sonraki Tik
timeline_select, Zaman Çizelgesi - Seç
timeline_tap, Zaman Çizelgesi - Dokunus Ekle
timeline_hold, Zaman Çizelgesi - Basili Tut Ekle
timeline_hold_step, Zaman Çizelgesi - Basili Tut Orta Ekle
timeline_flick, Zaman Çizelgesi - Firlatma Ekle
timeline_critical, Zaman Çizelgesi - Kritik Ekle
timeline_trace, Zaman Çizelgesi - Iz Ekle
timeline_guide, Zaman Çizelgesi - Kilavuz Ekle
timeline_damage, Zaman Çizelgesi - Hasar Ekle
timeline_bpm, Zaman Çizelgesi - BPM Ekle
timeline_time_signature, Zaman Çizelgesi - Zaman Imzasi Ekle
timeline_hi_speed, Zaman Çizelgesi - Hi-Speed Degisikligi Ekle
zoom_in, Yakinlastir
zoom_out, Uzaklastir
